Attack;BCI attempt;BCIConfidence;BCIState;BCIThresholdBuffer;Email;Event;Framecount;Gamemode;GoblinName;InputNumber;Nr of Turns;Player Health;Player Mana;PlayerTurn;SessionID;Success BCI;Take Damage;Timestamp
NULL;NULL;NULL;NULL;NULL;anonymous;Scene Start;15275;Battery;NULL;NULL;NULL;NULL;NULL;NULL;07837b1f-b2f6-4cd6-9e6e-be10bf251258;NULL;NULL;2023-12-04 10:31:46.2517
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;15275;NULL;NULL;NULL;1;NULL;NULL;TRUE;07837b1f-b2f6-4cd6-9e6e-be10bf251258;NULL;NULL;2023-12-04 10:31:46.2547
NULL;NULL;NULL;Connecting;NULL;anonymous;BCIStateUpdated;15275;NULL;NULL;NULL;NULL;NULL;NULL;NULL;07837b1f-b2f6-4cd6-9e6e-be10bf251258;NULL;NULL;2023-12-04 10:31:46.2578
NULL;NULL;NULL;ReceivingHeader;NULL;anonymous;BCIStateUpdated;15304;NULL;NULL;NULL;NULL;NULL;NULL;NULL;07837b1f-b2f6-4cd6-9e6e-be10bf251258;NULL;NULL;2023-12-04 10:31:48.8245
NULL;NULL;NULL;ReceivingData;NULL;anonymous;BCIStateUpdated;15310;NULL;NULL;NULL;NULL;NULL;NULL;NULL;07837b1f-b2f6-4cd6-9e6e-be10bf251258;NULL;NULL;2023-12-04 10:31:48.9413
NULL;1;NULL;NULL;NULL;anonymous;BciFail;16328;NULL;NULL;NULL;NULL;NULL;NULL;NULL;07837b1f-b2f6-4cd6-9e6e-be10bf251258;FALSE;NULL;2023-12-04 10:32:01.1878
NULL;2;NULL;NULL;NULL;anonymous;BciFail;17380;NULL;NULL;NULL;NULL;NULL;NULL;NULL;07837b1f-b2f6-4cd6-9e6e-be10bf251258;FALSE;NULL;2023-12-04 10:32:14.1267
NULL;3;NULL;NULL;NULL;anonymous;BciFail;18436;NULL;NULL;NULL;NULL;NULL;NULL;NULL;07837b1f-b2f6-4cd6-9e6e-be10bf251258;FALSE;NULL;2023-12-04 10:32:27.1043
NULL;NULL;0.7079;ReceivingData;NULL;anonymous;MotorImagery;18479;NULL;NULL;1;NULL;NULL;NULL;NULL;07837b1f-b2f6-4cd6-9e6e-be10bf251258;NULL;NULL;2023-12-04 10:32:27.9087
NULL;NULL;NULL;NULL;(0.717 0.715 0.731 0.702 0.695 0.684 0.708 0.671 );anonymous;NULL;18479;NULL;NULL;NULL;NULL;NULL;NULL;NULL;07837b1f-b2f6-4cd6-9e6e-be10bf251258;NULL;NULL;2023-12-04 10:32:27.9087
NULL;NULL;0.6148;ReceivingData;NULL;anonymous;Rest;18501;NULL;NULL;1;NULL;NULL;NULL;NULL;07837b1f-b2f6-4cd6-9e6e-be10bf251258;NULL;NULL;2023-12-04 10:32:28.3113
NULL;NULL;NULL;NULL;(0.664 0.670 0.672 0.615 0.695 0.684 0.708 0.699 );anonymous;NULL;18501;NULL;NULL;NULL;NULL;NULL;NULL;NULL;07837b1f-b2f6-4cd6-9e6e-be10bf251258;NULL;NULL;2023-12-04 10:32:28.3113
NULL;4;NULL;NULL;NULL;anonymous;BciFail;19494;NULL;NULL;NULL;NULL;NULL;NULL;NULL;07837b1f-b2f6-4cd6-9e6e-be10bf251258;FALSE;NULL;2023-12-04 10:32:40.0511
NULL;5;NULL;NULL;NULL;anonymous;BciFail;20549;NULL;NULL;NULL;NULL;NULL;NULL;NULL;07837b1f-b2f6-4cd6-9e6e-be10bf251258;FALSE;NULL;2023-12-04 10:32:53.0164
NULL;NULL;0.8608;ReceivingData;NULL;anonymous;MotorImagery;21379;NULL;NULL;2;NULL;NULL;NULL;NULL;07837b1f-b2f6-4cd6-9e6e-be10bf251258;NULL;NULL;2023-12-04 10:33:03.3946
NULL;NULL;NULL;NULL;(0.672 0.704 0.764 0.770 0.803 0.847 0.861 0.652 );anonymous;NULL;21379;NULL;NULL;NULL;NULL;NULL;NULL;NULL;07837b1f-b2f6-4cd6-9e6e-be10bf251258;NULL;NULL;2023-12-04 10:33:03.3946
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;21379;NULL;NULL;NULL;NULL;20.0000;0.0000;NULL;07837b1f-b2f6-4cd6-9e6e-be10bf251258;NULL;0;2023-12-04 10:33:03.3946
NULL;6;NULL;NULL;NULL;anonymous;BciSuccess;21379;NULL;NULL;NULL;NULL;NULL;NULL;NULL;07837b1f-b2f6-4cd6-9e6e-be10bf251258;TRUE;NULL;2023-12-04 10:33:03.3956
NULL;NULL;0.6333;ReceivingData;NULL;anonymous;Rest;21434;NULL;NULL;2;NULL;NULL;NULL;NULL;07837b1f-b2f6-4cd6-9e6e-be10bf251258;NULL;NULL;2023-12-04 10:33:04.4402
NULL;NULL;NULL;NULL;(0.633 0.770 0.702 0.681 0.679 0.675 0.673 0.642 );anonymous;NULL;21434;NULL;NULL;NULL;NULL;NULL;NULL;NULL;07837b1f-b2f6-4cd6-9e6e-be10bf251258;NULL;NULL;2023-12-04 10:33:04.4402
