Attack;BCI attempt;BCIConfidence;BCIState;BCIThresholdBuffer;Email;Event;Framecount;Gamemode;GoblinName;InputNumber;Nr of Turns;Player Health;Player Mana;PlayerTurn;SessionID;Success BCI;Take Damage;Timestamp
NULL;NULL;NULL;NULL;NULL;anonymous;Scene Start;4600;Battery;NULL;NULL;NULL;NULL;NULL;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:44:48.6922
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;4600;NULL;NULL;NULL;1;NULL;NULL;TRUE;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:44:48.6942
NULL;NULL;NULL;Connecting;NULL;anonymous;BCIStateUpdated;4600;NULL;NULL;NULL;NULL;NULL;NULL;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:44:48.6972
NULL;NULL;NULL;ReceivingHeader;NULL;anonymous;BCIStateUpdated;4628;NULL;NULL;NULL;NULL;NULL;NULL;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:44:51.2805
NULL;NULL;NULL;ReceivingData;NULL;anonymous;BCIStateUpdated;4645;NULL;NULL;NULL;NULL;NULL;NULL;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:44:51.5737
NULL;NULL;0.8722;ReceivingData;NULL;anonymous;MotorImagery;4685;NULL;NULL;1;NULL;NULL;NULL;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:44:52.0568
NULL;NULL;NULL;NULL;(0.873 0.872 0.832 0.861 0.859 0.864 0.878 0.877 );anonymous;NULL;4685;NULL;NULL;NULL;NULL;NULL;NULL;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:44:52.0568
NULL;NULL;0.6189;ReceivingData;NULL;anonymous;Rest;4728;NULL;NULL;1;NULL;NULL;NULL;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:44:52.5589
NULL;NULL;NULL;NULL;(0.867 0.869 0.861 0.619 0.870 0.875 0.878 0.871 );anonymous;NULL;4728;NULL;NULL;NULL;NULL;NULL;NULL;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:44:52.5589
NULL;NULL;0.6643;ReceivingData;NULL;anonymous;MotorImagery;4898;NULL;NULL;2;NULL;NULL;NULL;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:44:54.5426
NULL;NULL;NULL;NULL;(0.664 0.648 0.678 0.676 0.658 0.675 0.696 0.692 );anonymous;NULL;4898;NULL;NULL;NULL;NULL;NULL;NULL;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:44:54.5440
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;4898;NULL;NULL;NULL;NULL;20.0000;0.0000;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;0;2023-12-04 10:44:54.5440
NULL;1;NULL;NULL;NULL;anonymous;BciSuccess;4898;NULL;NULL;NULL;NULL;NULL;NULL;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;TRUE;NULL;2023-12-04 10:44:54.5440
NULL;NULL;0.6364;ReceivingData;NULL;anonymous;Rest;4899;NULL;NULL;2;NULL;NULL;NULL;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:44:54.5647
NULL;NULL;NULL;NULL;(0.664 0.636 0.678 0.676 0.658 0.675 0.696 0.692 );anonymous;NULL;4899;NULL;NULL;NULL;NULL;NULL;NULL;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:44:54.5647
NULL;NULL;0.6809;ReceivingData;NULL;anonymous;MotorImagery;4975;NULL;NULL;3;NULL;NULL;NULL;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:44:56.0267
NULL;NULL;NULL;NULL;(0.641 0.662 0.660 0.671 0.640 0.643 0.667 0.681 );anonymous;NULL;4975;NULL;NULL;NULL;NULL;NULL;NULL;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:44:56.0272
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;4976;NULL;NULL;NULL;1;NULL;NULL;FALSE;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:44:56.0389
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;5057;NULL;NULL;NULL;1;NULL;NULL;FALSE;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:44:57.0020
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;5059;NULL;NULL;NULL;1;NULL;NULL;FALSE;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:44:57.0269
NULL;NULL;0.1115;ReceivingData;NULL;anonymous;Rest;5093;NULL;NULL;3;NULL;NULL;NULL;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:44:57.4281
NULL;NULL;NULL;NULL;(0.790 0.773 0.755 0.739 0.730 0.708 0.678 0.111 );anonymous;NULL;5093;NULL;NULL;NULL;NULL;NULL;NULL;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:44:57.4281
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;5121;NULL;NULL;NULL;1;NULL;NULL;FALSE;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:44:57.7522
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;5158;NULL;NULL;NULL;1;NULL;NULL;FALSE;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:44:58.1880
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;5269;NULL;NULL;NULL;1;NULL;NULL;FALSE;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:44:59.5210
NULL;NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;5281;NULL;NULL;NULL;NULL;NULL;NULL;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:44:59.6730
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;5282;NULL;NULL;NULL;2;NULL;NULL;TRUE;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:44:59.6989
NULL;NULL;NULL;NULL;NULL;anonymous;Player Moving;5318;NULL;NULL;NULL;NULL;NULL;NULL;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:00.4022
NULL;NULL;NULL;NULL;NULL;anonymous;End Player Turn;5585;NULL;NULL;NULL;2;NULL;NULL;FALSE;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:03.6387
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;5585;NULL;NULL;NULL;2;NULL;NULL;FALSE;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:03.6387
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;5598;NULL;NULL;NULL;2;NULL;NULL;FALSE;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:03.8053
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;5600;NULL;NULL;NULL;2;NULL;NULL;FALSE;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:03.8301
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;5660;NULL;NULL;NULL;2;NULL;NULL;FALSE;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:04.5625
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;5673;NULL;NULL;NULL;2;NULL;NULL;FALSE;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:04.7355
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;5753;NULL;NULL;NULL;2;NULL;NULL;FALSE;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:05.7335
NULL;NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;5862;NULL;NULL;NULL;NULL;NULL;NULL;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:07.0712
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;5863;NULL;NULL;NULL;3;NULL;NULL;TRUE;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:07.0832
1;NULL;NULL;NULL;NULL;anonymous;Player Attacking;5972;NULL;NULL;NULL;NULL;NULL;NULL;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:09.2230
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;6080;NULL;NULL;NULL;3;NULL;NULL;FALSE;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:11.2769
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;6112;NULL;NULL;NULL;3;NULL;NULL;FALSE;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:11.6716
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;6114;NULL;NULL;NULL;3;NULL;NULL;FALSE;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:11.6990
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;6149;NULL;NULL;NULL;3;NULL;NULL;FALSE;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:12.1523
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;6233;NULL;NULL;NULL;3;NULL;NULL;FALSE;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:13.1970
NULL;NULL;NULL;NULL;NULL;anonymous;Player Hurt;6246;NULL;NULL;NULL;NULL;19.0000;0.0000;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;1;2023-12-04 10:45:13.3532
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;6247;NULL;NULL;NULL;3;NULL;NULL;FALSE;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:13.3653
NULL;NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;6294;NULL;NULL;NULL;NULL;NULL;NULL;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:13.9391
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;6295;NULL;NULL;NULL;4;NULL;NULL;TRUE;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:13.9512
NULL;NULL;0.6892;ReceivingData;NULL;anonymous;MotorImagery;6515;NULL;NULL;4;NULL;NULL;NULL;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:16.6246
NULL;NULL;NULL;NULL;(0.689 0.660 0.683 0.702 0.692 0.715 0.726 0.712 );anonymous;NULL;6515;NULL;NULL;NULL;NULL;NULL;NULL;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:16.6246
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;6515;NULL;NULL;NULL;NULL;19.0000;0.0000;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;1;2023-12-04 10:45:16.6246
NULL;2;NULL;NULL;NULL;anonymous;BciSuccess;6515;NULL;NULL;NULL;NULL;NULL;NULL;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;TRUE;NULL;2023-12-04 10:45:16.6256
NULL;NULL;0.5271;ReceivingData;NULL;anonymous;Rest;6538;NULL;NULL;4;NULL;NULL;NULL;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:17.0780
NULL;NULL;NULL;NULL;(0.689 0.726 0.654 0.527 0.692 0.715 0.726 0.712 );anonymous;NULL;6538;NULL;NULL;NULL;NULL;NULL;NULL;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:17.0780
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;6592;NULL;NULL;NULL;4;NULL;NULL;FALSE;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:18.1393
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;6690;NULL;NULL;NULL;4;NULL;NULL;FALSE;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:19.4321
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;6692;NULL;NULL;NULL;4;NULL;NULL;FALSE;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:19.4554
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;6741;NULL;NULL;NULL;4;NULL;NULL;FALSE;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:20.0648
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;6777;NULL;NULL;NULL;4;NULL;NULL;FALSE;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:20.5228
NULL;NULL;NULL;NULL;NULL;anonymous;Player Hurt;6778;NULL;NULL;NULL;NULL;18.0000;1.0000;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;2;2023-12-04 10:45:20.5461
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;6779;NULL;NULL;NULL;4;NULL;NULL;FALSE;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:20.5529
NULL;NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;6885;NULL;NULL;NULL;NULL;NULL;NULL;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:21.8766
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;6886;NULL;NULL;NULL;5;NULL;NULL;TRUE;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:21.9071
2;NULL;NULL;NULL;NULL;anonymous;Player Attacking;7048;NULL;NULL;NULL;NULL;NULL;NULL;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:25.0957
NULL;NULL;NULL;NULL;NULL;anonymous;Goblin Death;7090;NULL;Goblin 2 Variant (4);NULL;NULL;NULL;NULL;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:25.9085
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7144;NULL;NULL;NULL;5;NULL;NULL;FALSE;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:26.9337
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7156;NULL;NULL;NULL;5;NULL;NULL;FALSE;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:27.0843
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7158;NULL;NULL;NULL;5;NULL;NULL;FALSE;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:27.1080
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7255;NULL;NULL;NULL;5;NULL;NULL;FALSE;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:28.2969
NULL;NULL;0.6507;ReceivingData;NULL;anonymous;MotorImagery;7315;NULL;NULL;5;NULL;NULL;NULL;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:29.0367
NULL;NULL;NULL;NULL;(0.657 0.651 0.740 0.734 0.700 0.680 0.681 0.667 );anonymous;NULL;7315;NULL;NULL;NULL;NULL;NULL;NULL;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:29.0367
NULL;NULL;0.6322;ReceivingData;NULL;anonymous;Rest;7316;NULL;NULL;5;NULL;NULL;NULL;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:29.0489
NULL;NULL;NULL;NULL;(0.657 0.651 0.632 0.734 0.700 0.680 0.681 0.667 );anonymous;NULL;7316;NULL;NULL;NULL;NULL;NULL;NULL;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:29.0489
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7365;NULL;NULL;NULL;5;NULL;NULL;FALSE;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:29.6419
NULL;NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;7401;NULL;NULL;NULL;NULL;NULL;NULL;NULL;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:30.0815
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;7402;NULL;NULL;NULL;6;NULL;NULL;TRUE;bc566d9f-0ff4-4867-b247-04050fef9689;NULL;NULL;2023-12-04 10:45:30.0932
