BCIConfidence;BCIState;Email;Event;Framecount;SessionID;Timestamp
0.5953;ReceivingData;anonymous;Sample;4645;bc566d9f-0ff4-4867-b247-04050fef9689;2023-12-04 10:44:51.5737
0.5825;ReceivingData;anonymous;Sample;4646;bc566d9f-0ff4-4867-b247-04050fef9689;2023-12-04 10:44:51.5854
0.8317;ReceivingData;anonymous;Sample;4647;bc566d9f-0ff4-4867-b247-04050fef9689;2023-12-04 10:44:51.5987
0.8611;ReceivingData;anonymous;Sample;4648;bc566d9f-0ff4-4867-b247-04050fef9689;2023-12-04 10:44:51.6108
0.8588;ReceivingData;anonymous;Sample;4649;bc566d9f-0ff4-4867-b247-04050fef9689;2023-12-04 10:44:51.6224
0.8641;ReceivingData;anonymous;Sample;4650;bc566d9f-0ff4-4867-b247-04050fef9689;2023-12-04 10:44:51.6370
0.8779;ReceivingData;anonymous;Sample;4651;bc566d9f-0ff4-4867-b247-04050fef9689;2023-12-04 10:44:51.6496
0.8770;ReceivingData;anonymous;Sample;4652;bc566d9f-0ff4-4867-b247-04050fef9689;2023-12-04 10:44:51.6649
0.8728;ReceivingData;anonymous;Sample;4653;bc566d9f-0ff4-4867-b247-04050fef9689;2023-12-04 10:44:51.6766
0.8722;ReceivingData;anonymous;Sample;4685;bc566d9f-0ff4-4867-b247-04050fef9689;2023-12-04 10:44:52.0568
0.8720;ReceivingData;anonymous;Sample;4686;bc566d9f-0ff4-4867-b247-04050fef9689;2023-12-04 10:44:52.0703
0.8715;ReceivingData;anonymous;Sample;4687;bc566d9f-0ff4-4867-b247-04050fef9689;2023-12-04 10:44:52.0821
0.8703;ReceivingData;anonymous;Sample;4688;bc566d9f-0ff4-4867-b247-04050fef9689;2023-12-04 10:44:52.0927
0.8751;ReceivingData;anonymous;Sample;4689;bc566d9f-0ff4-4867-b247-04050fef9689;2023-12-04 10:44:52.1054
0.8780;ReceivingData;anonymous;Sample;4690;bc566d9f-0ff4-4867-b247-04050fef9689;2023-12-04 10:44:52.1168
0.8705;ReceivingData;anonymous;Sample;4691;bc566d9f-0ff4-4867-b247-04050fef9689;2023-12-04 10:44:52.1282
0.8667;ReceivingData;anonymous;Sample;4692;bc566d9f-0ff4-4867-b247-04050fef9689;2023-12-04 10:44:52.1398
0.8694;ReceivingData;anonymous;Sample;4726;bc566d9f-0ff4-4867-b247-04050fef9689;2023-12-04 10:44:52.5356
0.8611;ReceivingData;anonymous;Sample;4727;bc566d9f-0ff4-4867-b247-04050fef9689;2023-12-04 10:44:52.5480
0.6189;ReceivingData;anonymous;Sample;4728;bc566d9f-0ff4-4867-b247-04050fef9689;2023-12-04 10:44:52.5589
0.6179;ReceivingData;anonymous;Sample;4729;bc566d9f-0ff4-4867-b247-04050fef9689;2023-12-04 10:44:52.5740
0.6437;ReceivingData;anonymous;Sample;4730;bc566d9f-0ff4-4867-b247-04050fef9689;2023-12-04 10:44:52.5856
0.6683;ReceivingData;anonymous;Sample;4731;bc566d9f-0ff4-4867-b247-04050fef9689;2023-12-04 10:44:52.5966
0.6296;ReceivingData;anonymous;Sample;4732;bc566d9f-0ff4-4867-b247-04050fef9689;2023-12-04 10:44:52.6078
0.6406;ReceivingData;anonymous;Sample;4767;bc566d9f-0ff4-4867-b247-04050fef9689;2023-12-04 10:44:53.0167
0.6173;ReceivingData;anonymous;Sample;4768;bc566d9f-0ff4-4867-b247-04050fef9689;2023-12-04 10:44:53.0305
0.6162;ReceivingData;anonymous;Sample;4769;bc566d9f-0ff4-4867-b247-04050fef9689;2023-12-04 10:44:53.0410
