Attack;BCI attempt;BCIConfidence;BCIState;BCIThresholdBuffer;Email;Event;Framecount;Gamemode;GoblinName;InputNumber;Nr of Turns;Player Health;Player Mana;PlayerTurn;SessionID;Success BCI;Take Damage;Timestamp
NULL;NULL;NULL;NULL;NULL;anonymous;Scene Start;10305;Battery;NULL;NULL;NULL;NULL;NULL;NULL;bdd04b4b-905b-48a0-945f-b141898d4795;NULL;NULL;2023-12-06 13:38:20.5537
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;10305;NULL;NULL;NULL;1;NULL;NULL;TRUE;bdd04b4b-905b-48a0-945f-b141898d4795;NULL;NULL;2023-12-06 13:38:20.5562
NULL;NULL;NULL;Connecting;NULL;anonymous;BCIStateUpdated;10305;NULL;NULL;NULL;NULL;NULL;NULL;NULL;bdd04b4b-905b-48a0-945f-b141898d4795;NULL;NULL;2023-12-06 13:38:20.5593
NULL;NULL;NULL;ReceivingHeader;NULL;anonymous;BCIStateUpdated;10333;NULL;NULL;NULL;NULL;NULL;NULL;NULL;bdd04b4b-905b-48a0-945f-b141898d4795;NULL;NULL;2023-12-06 13:38:23.1307
NULL;NULL;NULL;ReceivingData;NULL;anonymous;BCIStateUpdated;10335;NULL;NULL;NULL;NULL;NULL;NULL;NULL;bdd04b4b-905b-48a0-945f-b141898d4795;NULL;NULL;2023-12-06 13:38:23.1733
NULL;NULL;0.7123;ReceivingData;NULL;anonymous;MotorImagery;10563;NULL;NULL;1;NULL;NULL;NULL;NULL;bdd04b4b-905b-48a0-945f-b141898d4795;NULL;NULL;2023-12-06 13:38:25.1570
NULL;NULL;NULL;NULL;(0.712 0.681 0.698 0.700 0.702 0.710 0.712 0.722 );anonymous;NULL;10563;NULL;NULL;NULL;NULL;NULL;NULL;NULL;bdd04b4b-905b-48a0-945f-b141898d4795;NULL;NULL;2023-12-06 13:38:25.1570
NULL;NULL;0.6196;ReceivingData;NULL;anonymous;Rest;10853;NULL;NULL;1;NULL;NULL;NULL;NULL;bdd04b4b-905b-48a0-945f-b141898d4795;NULL;NULL;2023-12-06 13:38:27.5082
NULL;NULL;NULL;NULL;(0.671 0.671 0.656 0.620 0.730 0.719 0.715 0.697 );anonymous;NULL;10853;NULL;NULL;NULL;NULL;NULL;NULL;NULL;bdd04b4b-905b-48a0-945f-b141898d4795;NULL;NULL;2023-12-06 13:38:27.5082
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;10853;NULL;NULL;NULL;NULL;20.0000;0.0000;NULL;bdd04b4b-905b-48a0-945f-b141898d4795;NULL;0;2023-12-06 13:38:27.5088
NULL;1;NULL;NULL;NULL;anonymous;BciSuccess;10853;NULL;NULL;NULL;NULL;NULL;NULL;NULL;bdd04b4b-905b-48a0-945f-b141898d4795;TRUE;NULL;2023-12-06 13:38:27.5088
NULL;NULL;0.7184;ReceivingData;NULL;anonymous;MotorImagery;10881;NULL;NULL;2;NULL;NULL;NULL;NULL;bdd04b4b-905b-48a0-945f-b141898d4795;NULL;NULL;2023-12-06 13:38:28.0685
NULL;NULL;NULL;NULL;(0.657 0.676 0.688 0.704 0.718 0.645 0.662 0.667 );anonymous;NULL;10881;NULL;NULL;NULL;NULL;NULL;NULL;NULL;bdd04b4b-905b-48a0-945f-b141898d4795;NULL;NULL;2023-12-06 13:38:28.0685
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;10930;NULL;NULL;NULL;1;NULL;NULL;FALSE;bdd04b4b-905b-48a0-945f-b141898d4795;NULL;NULL;2023-12-06 13:38:29.0151
NULL;NULL;0.6324;ReceivingData;NULL;anonymous;Rest;10981;NULL;NULL;2;NULL;NULL;NULL;NULL;bdd04b4b-905b-48a0-945f-b141898d4795;NULL;NULL;2023-12-06 13:38:29.4372
NULL;NULL;NULL;NULL;(0.771 0.771 0.769 0.735 0.686 0.632 0.778 0.759 );anonymous;NULL;10981;NULL;NULL;NULL;NULL;NULL;NULL;NULL;bdd04b4b-905b-48a0-945f-b141898d4795;NULL;NULL;2023-12-06 13:38:29.4372
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;11042;NULL;NULL;NULL;1;NULL;NULL;FALSE;bdd04b4b-905b-48a0-945f-b141898d4795;NULL;NULL;2023-12-06 13:38:29.9524
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;11044;NULL;NULL;NULL;1;NULL;NULL;FALSE;bdd04b4b-905b-48a0-945f-b141898d4795;NULL;NULL;2023-12-06 13:38:29.9682
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;11129;NULL;NULL;NULL;1;NULL;NULL;FALSE;bdd04b4b-905b-48a0-945f-b141898d4795;NULL;NULL;2023-12-06 13:38:30.6653
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;11177;NULL;NULL;NULL;1;NULL;NULL;FALSE;bdd04b4b-905b-48a0-945f-b141898d4795;NULL;NULL;2023-12-06 13:38:31.0671
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;11337;NULL;NULL;NULL;1;NULL;NULL;FALSE;bdd04b4b-905b-48a0-945f-b141898d4795;NULL;NULL;2023-12-06 13:38:32.3701
NULL;NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;11353;NULL;NULL;NULL;NULL;NULL;NULL;NULL;bdd04b4b-905b-48a0-945f-b141898d4795;NULL;NULL;2023-12-06 13:38:32.5107
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;11354;NULL;NULL;NULL;2;NULL;NULL;TRUE;bdd04b4b-905b-48a0-945f-b141898d4795;NULL;NULL;2023-12-06 13:38:32.5266
NULL;NULL;NULL;NULL;NULL;anonymous;Player Moving;11403;NULL;NULL;NULL;NULL;NULL;NULL;NULL;bdd04b4b-905b-48a0-945f-b141898d4795;NULL;NULL;2023-12-06 13:38:33.4930
NULL;NULL;NULL;NULL;NULL;anonymous;End Player Turn;11874;NULL;NULL;NULL;2;NULL;NULL;FALSE;bdd04b4b-905b-48a0-945f-b141898d4795;NULL;NULL;2023-12-06 13:38:37.4783
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;11874;NULL;NULL;NULL;2;NULL;NULL;FALSE;bdd04b4b-905b-48a0-945f-b141898d4795;NULL;NULL;2023-12-06 13:38:37.4783
