Attack;BCI attempt;BCIConfidence;BCIState;BCIThresholdBuffer;Email;Event;Framecount;Gamemode;GoblinName;InputNumber;Nr of Turns;Player Health;Player Mana;PlayerTurn;SessionID;Success BCI;Take Damage;Timestamp
NULL;NULL;NULL;NULL;NULL;anonymous;Scene Start;9144;Battery;NULL;NULL;NULL;NULL;NULL;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:09.0420
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;9144;NULL;NULL;NULL;1;NULL;NULL;TRUE;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:09.0466
NULL;NULL;NULL;Connecting;NULL;anonymous;BCIStateUpdated;9144;NULL;NULL;NULL;NULL;NULL;NULL;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:09.0496
NULL;NULL;NULL;ReceivingHeader;NULL;anonymous;BCIStateUpdated;9172;NULL;NULL;NULL;NULL;NULL;NULL;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:11.6438
NULL;NULL;NULL;ReceivingData;NULL;anonymous;BCIStateUpdated;9191;NULL;NULL;NULL;NULL;NULL;NULL;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:11.9433
NULL;NULL;0.6618;ReceivingData;NULL;anonymous;MotorImagery;9664;NULL;NULL;1;NULL;NULL;NULL;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:15.7999
NULL;NULL;NULL;NULL;(0.644 0.645 0.653 0.651 0.662 0.677 0.686 0.676 );anonymous;NULL;9664;NULL;NULL;NULL;NULL;NULL;NULL;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:15.7999
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;9664;NULL;NULL;NULL;NULL;20.0000;0.0000;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;0;2023-12-07 11:00:15.8010
NULL;1;NULL;NULL;NULL;anonymous;BciSuccess;9664;NULL;NULL;NULL;NULL;NULL;NULL;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;TRUE;NULL;2023-12-07 11:00:15.8016
NULL;NULL;0.6157;ReceivingData;NULL;anonymous;Rest;9687;NULL;NULL;1;NULL;NULL;NULL;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:16.2645
NULL;NULL;NULL;NULL;(0.616 0.645 0.653 0.651 0.662 0.669 0.682 0.671 );anonymous;NULL;9687;NULL;NULL;NULL;NULL;NULL;NULL;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:16.2645
NULL;NULL;0.7469;ReceivingData;NULL;anonymous;MotorImagery;10496;NULL;NULL;2;NULL;NULL;NULL;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:23.9723
NULL;NULL;NULL;NULL;(0.747 0.746 0.750 0.745 0.747 0.655 0.704 0.733 );anonymous;NULL;10496;NULL;NULL;NULL;NULL;NULL;NULL;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:23.9723
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;10496;NULL;NULL;NULL;NULL;20.0000;1.0000;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;0;2023-12-07 11:00:23.9723
NULL;2;NULL;NULL;NULL;anonymous;BciSuccess;10496;NULL;NULL;NULL;NULL;NULL;NULL;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;TRUE;NULL;2023-12-07 11:00:23.9739
NULL;NULL;0.6396;ReceivingData;NULL;anonymous;Rest;10551;NULL;NULL;2;NULL;NULL;NULL;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:25.0836
NULL;NULL;NULL;NULL;(0.647 0.640 0.706 0.724 0.726 0.714 0.686 0.676 );anonymous;NULL;10551;NULL;NULL;NULL;NULL;NULL;NULL;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:25.0836
NULL;NULL;0.6982;ReceivingData;NULL;anonymous;MotorImagery;10755;NULL;NULL;3;NULL;NULL;NULL;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:27.3272
NULL;NULL;NULL;NULL;(0.778 0.783 0.787 0.806 0.729 0.698 0.693 0.743 );anonymous;NULL;10755;NULL;NULL;NULL;NULL;NULL;NULL;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:27.3272
NULL;NULL;0.6324;ReceivingData;NULL;anonymous;Rest;10926;NULL;NULL;3;NULL;NULL;NULL;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:28.7605
NULL;NULL;NULL;NULL;(0.688 0.664 0.669 0.632 0.715 0.707 0.694 0.687 );anonymous;NULL;10926;NULL;NULL;NULL;NULL;NULL;NULL;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:28.7605
NULL;NULL;0.6758;ReceivingData;NULL;anonymous;MotorImagery;11209;NULL;NULL;4;NULL;NULL;NULL;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:31.1501
NULL;NULL;NULL;NULL;(0.738 0.726 0.676 0.667 0.696 0.742 0.756 0.744 );anonymous;NULL;11209;NULL;NULL;NULL;NULL;NULL;NULL;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:31.1501
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;11209;NULL;NULL;NULL;NULL;20.0000;2.0000;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;0;2023-12-07 11:00:31.1511
NULL;3;NULL;NULL;NULL;anonymous;BciSuccess;11209;NULL;NULL;NULL;NULL;NULL;NULL;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;TRUE;NULL;2023-12-07 11:00:31.1521
NULL;NULL;0.6149;ReceivingData;NULL;anonymous;Rest;11211;NULL;NULL;4;NULL;NULL;NULL;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:31.1905
NULL;NULL;NULL;NULL;(0.738 0.726 0.676 0.647 0.615 0.742 0.756 0.744 );anonymous;NULL;11211;NULL;NULL;NULL;NULL;NULL;NULL;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:31.1905
NULL;NULL;0.7558;ReceivingData;NULL;anonymous;MotorImagery;12044;NULL;NULL;5;NULL;NULL;NULL;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:39.3353
NULL;NULL;NULL;NULL;(0.729 0.771 0.761 0.775 0.756 0.687 0.702 0.724 );anonymous;NULL;12044;NULL;NULL;NULL;NULL;NULL;NULL;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:39.3353
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;12044;NULL;NULL;NULL;NULL;20.0000;3.0000;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;0;2023-12-07 11:00:39.3353
NULL;4;NULL;NULL;NULL;anonymous;BciSuccess;12044;NULL;NULL;NULL;NULL;NULL;NULL;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;TRUE;NULL;2023-12-07 11:00:39.3365
NULL;NULL;0.6364;ReceivingData;NULL;anonymous;Rest;12072;NULL;NULL;5;NULL;NULL;NULL;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:39.9011
NULL;NULL;NULL;NULL;(0.794 0.756 0.737 0.722 0.698 0.661 0.636 0.798 );anonymous;NULL;12072;NULL;NULL;NULL;NULL;NULL;NULL;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:39.9011
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;12118;NULL;NULL;NULL;1;NULL;NULL;FALSE;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:40.8461
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;12227;NULL;NULL;NULL;1;NULL;NULL;FALSE;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:41.7886
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;12229;NULL;NULL;NULL;1;NULL;NULL;FALSE;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:41.8043
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;12312;NULL;NULL;NULL;1;NULL;NULL;FALSE;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:42.5120
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;12358;NULL;NULL;NULL;1;NULL;NULL;FALSE;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:42.9213
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;12512;NULL;NULL;NULL;1;NULL;NULL;FALSE;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:44.2320
NULL;NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;12528;NULL;NULL;NULL;NULL;NULL;NULL;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:44.3745
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;12529;NULL;NULL;NULL;2;NULL;NULL;TRUE;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:44.3960
NULL;NULL;NULL;NULL;NULL;anonymous;Player Moving;12607;NULL;NULL;NULL;NULL;NULL;NULL;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:45.9704
NULL;NULL;NULL;NULL;NULL;anonymous;End Player Turn;13051;NULL;NULL;NULL;2;NULL;NULL;FALSE;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:49.8587
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;13051;NULL;NULL;NULL;2;NULL;NULL;FALSE;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:49.8587
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;13066;NULL;NULL;NULL;2;NULL;NULL;FALSE;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:50.0058
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;13068;NULL;NULL;NULL;2;NULL;NULL;FALSE;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:50.0223
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;13147;NULL;NULL;NULL;2;NULL;NULL;FALSE;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:50.7236
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;13164;NULL;NULL;NULL;2;NULL;NULL;FALSE;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:50.8893
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;13274;NULL;NULL;NULL;2;NULL;NULL;FALSE;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:51.8690
NULL;NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;13417;NULL;NULL;NULL;NULL;NULL;NULL;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:53.1564
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;13418;NULL;NULL;NULL;3;NULL;NULL;TRUE;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:53.1641
1;NULL;NULL;NULL;NULL;anonymous;Player Attacking;13459;NULL;NULL;NULL;NULL;NULL;NULL;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:54.0202
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;13559;NULL;NULL;NULL;3;NULL;NULL;FALSE;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:56.0802
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;13601;NULL;NULL;NULL;3;NULL;NULL;FALSE;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:56.4646
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;13603;NULL;NULL;NULL;3;NULL;NULL;FALSE;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:56.4823
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;13652;NULL;NULL;NULL;3;NULL;NULL;FALSE;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:56.9119
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;13760;NULL;NULL;NULL;3;NULL;NULL;FALSE;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:57.8884
NULL;NULL;NULL;NULL;NULL;anonymous;Player Hurt;13776;NULL;NULL;NULL;NULL;19.0000;3.0000;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;1;2023-12-07 11:00:58.0383
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;13777;NULL;NULL;NULL;3;NULL;NULL;FALSE;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:58.0483
NULL;NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;13837;NULL;NULL;NULL;NULL;NULL;NULL;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:58.5880
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;13838;NULL;NULL;NULL;4;NULL;NULL;TRUE;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:00:58.6056
2;NULL;NULL;NULL;NULL;anonymous;Player Attacking;13926;NULL;NULL;NULL;NULL;NULL;NULL;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:01:00.4448
NULL;NULL;NULL;NULL;NULL;anonymous;Goblin Death;13966;NULL;Goblin 2 Variant (4);NULL;NULL;NULL;NULL;NULL;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:01:01.2783
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;14017;NULL;NULL;NULL;4;NULL;NULL;FALSE;716b2110-7171-48d5-83c3-28013ffb2f75;NULL;NULL;2023-12-07 11:01:02.2992
