Attack;BCI attempt;BCIConfidence;BCIState;BCIThresholdBuffer;Email;Event;Framecount;Gamemode;GoblinName;InputNumber;Nr of Turns;Player Health;Player Mana;PlayerTurn;SessionID;Success BCI;Take Damage;Timestamp
NULL;NULL;NULL;NULL;NULL;anonymous;Scene Start;9377;Battery;NULL;NULL;NULL;NULL;NULL;NULL;0db3df55-9eec-4a09-ace0-0f30b1a0766a;NULL;NULL;2023-12-07 10:48:10.0529
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;9377;NULL;NULL;NULL;1;NULL;NULL;TRUE;0db3df55-9eec-4a09-ace0-0f30b1a0766a;NULL;NULL;2023-12-07 10:48:10.0575
NULL;NULL;NULL;Connecting;NULL;anonymous;BCIStateUpdated;9377;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0db3df55-9eec-4a09-ace0-0f30b1a0766a;NULL;NULL;2023-12-07 10:48:10.0595
NULL;NULL;NULL;ReceivingHeader;NULL;anonymous;BCIStateUpdated;9404;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0db3df55-9eec-4a09-ace0-0f30b1a0766a;NULL;NULL;2023-12-07 10:48:12.6568
NULL;NULL;NULL;ReceivingData;NULL;anonymous;BCIStateUpdated;9412;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0db3df55-9eec-4a09-ace0-0f30b1a0766a;NULL;NULL;2023-12-07 10:48:12.7940
NULL;NULL;0.7129;ReceivingData;NULL;anonymous;MotorImagery;9419;NULL;NULL;1;NULL;NULL;NULL;NULL;0db3df55-9eec-4a09-ace0-0f30b1a0766a;NULL;NULL;2023-12-07 10:48:12.9161
NULL;NULL;NULL;NULL;(0.701 0.677 0.676 0.679 0.674 0.674 0.713 0.713 );anonymous;NULL;9419;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0db3df55-9eec-4a09-ace0-0f30b1a0766a;NULL;NULL;2023-12-07 10:48:12.9161
NULL;NULL;0.5377;ReceivingData;NULL;anonymous;Rest;9461;NULL;NULL;1;NULL;NULL;NULL;NULL;0db3df55-9eec-4a09-ace0-0f30b1a0766a;NULL;NULL;2023-12-07 10:48:13.2842
NULL;NULL;NULL;NULL;(0.690 0.668 0.538 0.679 0.674 0.674 0.713 0.713 );anonymous;NULL;9461;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0db3df55-9eec-4a09-ace0-0f30b1a0766a;NULL;NULL;2023-12-07 10:48:13.2842
NULL;NULL;0.7537;ReceivingData;NULL;anonymous;MotorImagery;9935;NULL;NULL;2;NULL;NULL;NULL;NULL;0db3df55-9eec-4a09-ace0-0f30b1a0766a;NULL;NULL;2023-12-07 10:48:17.1665
