BCIConfidence;BCIState;Email;Event;Framecount;SessionID;Timestamp
0.0494;ReceivingData;anonymous;Sample;15529;fb31188c-2961-477c-8748-524a6829f1b9;2023-12-07 12:29:55.7456
0.0465;ReceivingData;anonymous;Sample;15530;fb31188c-2961-477c-8748-524a6829f1b9;2023-12-07 12:29:55.7616
0.0437;ReceivingData;anonymous;Sample;15531;fb31188c-2961-477c-8748-524a6829f1b9;2023-12-07 12:29:55.7822
0.0337;ReceivingData;anonymous;Sample;15532;fb31188c-2961-477c-8748-524a6829f1b9;2023-12-07 12:29:55.7979
0.0181;ReceivingData;anonymous;Sample;15533;fb31188c-2961-477c-8748-524a6829f1b9;2023-12-07 12:29:55.8332
0.0094;ReceivingData;anonymous;Sample;15534;fb31188c-2961-477c-8748-524a6829f1b9;2023-12-07 12:29:55.8504
0.0073;ReceivingData;anonymous;Sample;15535;fb31188c-2961-477c-8748-524a6829f1b9;2023-12-07 12:29:55.8658
0.0067;ReceivingData;anonymous;Sample;15536;fb31188c-2961-477c-8748-524a6829f1b9;2023-12-07 12:29:55.8871
0.0061;ReceivingData;anonymous;Sample;15537;fb31188c-2961-477c-8748-524a6829f1b9;2023-12-07 12:29:55.9074
0.0065;ReceivingData;anonymous;Sample;15554;fb31188c-2961-477c-8748-524a6829f1b9;2023-12-07 12:29:56.2192
0.0094;ReceivingData;anonymous;Sample;15555;fb31188c-2961-477c-8748-524a6829f1b9;2023-12-07 12:29:56.2364
0.0082;ReceivingData;anonymous;Sample;15556;fb31188c-2961-477c-8748-524a6829f1b9;2023-12-07 12:29:56.2554
0.0081;ReceivingData;anonymous;Sample;15557;fb31188c-2961-477c-8748-524a6829f1b9;2023-12-07 12:29:56.2779
0.0086;ReceivingData;anonymous;Sample;15558;fb31188c-2961-477c-8748-524a6829f1b9;2023-12-07 12:29:56.2951
0.0085;ReceivingData;anonymous;Sample;15559;fb31188c-2961-477c-8748-524a6829f1b9;2023-12-07 12:29:56.3153
0.0088;ReceivingData;anonymous;Sample;15560;fb31188c-2961-477c-8748-524a6829f1b9;2023-12-07 12:29:56.3324
0.0089;ReceivingData;anonymous;Sample;15561;fb31188c-2961-477c-8748-524a6829f1b9;2023-12-07 12:29:56.3537
0.0116;ReceivingData;anonymous;Sample;15579;fb31188c-2961-477c-8748-524a6829f1b9;2023-12-07 12:29:56.6941
0.0114;ReceivingData;anonymous;Sample;15580;fb31188c-2961-477c-8748-524a6829f1b9;2023-12-07 12:29:56.7148
0.0116;ReceivingData;anonymous;Sample;15581;fb31188c-2961-477c-8748-524a6829f1b9;2023-12-07 12:29:56.7365
0.0194;ReceivingData;anonymous;Sample;15582;fb31188c-2961-477c-8748-524a6829f1b9;2023-12-07 12:29:56.7559
0.0301;ReceivingData;anonymous;Sample;15583;fb31188c-2961-477c-8748-524a6829f1b9;2023-12-07 12:29:56.7776
0.0655;ReceivingData;anonymous;Sample;15584;fb31188c-2961-477c-8748-524a6829f1b9;2023-12-07 12:29:56.7947
0.0886;ReceivingData;anonymous;Sample;15585;fb31188c-2961-477c-8748-524a6829f1b9;2023-12-07 12:29:56.8147
0.1017;ReceivingData;anonymous;Sample;15593;fb31188c-2961-477c-8748-524a6829f1b9;2023-12-07 12:29:56.9596
