Attack;BCI attempt;BCIConfidence;BCIState;BCIThresholdBuffer;Email;Event;Framecount;Gamemode;GoblinName;InputNumber;Nr of Turns;Player Health;Player Mana;PlayerTurn;SessionID;Success BCI;Take Damage;Timestamp
NULL;NULL;NULL;NULL;NULL;anonymous;Scene Start;14895;Battery;NULL;NULL;NULL;NULL;NULL;NULL;8cf73375-ca60-468f-8241-3c755401b071;NULL;NULL;2023-12-07 13:51:35.8012
NULL;NULL;NULL;Connecting;NULL;anonymous;BCIStateUpdated;14895;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8cf73375-ca60-468f-8241-3c755401b071;NULL;NULL;2023-12-07 13:51:35.8032
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;14895;NULL;NULL;NULL;1;NULL;NULL;TRUE;8cf73375-ca60-468f-8241-3c755401b071;NULL;NULL;2023-12-07 13:51:35.8042
NULL;NULL;NULL;ReceivingHeader;NULL;anonymous;BCIStateUpdated;14922;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8cf73375-ca60-468f-8241-3c755401b071;NULL;NULL;2023-12-07 13:51:38.3893
NULL;NULL;NULL;ReceivingData;NULL;anonymous;BCIStateUpdated;14935;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8cf73375-ca60-468f-8241-3c755401b071;NULL;NULL;2023-12-07 13:51:38.6255
NULL;NULL;0.6995;ReceivingData;NULL;anonymous;MotorImagery;15642;NULL;NULL;1;NULL;NULL;NULL;NULL;8cf73375-ca60-468f-8241-3c755401b071;NULL;NULL;2023-12-07 13:51:46.7931
NULL;NULL;NULL;NULL;(0.699 0.697 0.690 0.677 0.645 0.645 0.722 0.762 );anonymous;NULL;15642;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8cf73375-ca60-468f-8241-3c755401b071;NULL;NULL;2023-12-07 13:51:46.7931
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;15642;NULL;NULL;NULL;NULL;20.0000;0.0000;NULL;8cf73375-ca60-468f-8241-3c755401b071;NULL;0;2023-12-07 13:51:46.7931
NULL;1;NULL;NULL;NULL;anonymous;BciSuccess;15642;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8cf73375-ca60-468f-8241-3c755401b071;TRUE;NULL;2023-12-07 13:51:46.7942
NULL;NULL;0.6376;ReceivingData;NULL;anonymous;Rest;15645;NULL;NULL;1;NULL;NULL;NULL;NULL;8cf73375-ca60-468f-8241-3c755401b071;NULL;NULL;2023-12-07 13:51:46.8622
NULL;NULL;NULL;NULL;(0.699 0.706 0.690 0.638 0.645 0.645 0.722 0.762 );anonymous;NULL;15645;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8cf73375-ca60-468f-8241-3c755401b071;NULL;NULL;2023-12-07 13:51:46.8622
NULL;NULL;0.8040;ReceivingData;NULL;anonymous;MotorImagery;15721;NULL;NULL;2;NULL;NULL;NULL;NULL;8cf73375-ca60-468f-8241-3c755401b071;NULL;NULL;2023-12-07 13:51:48.3816
NULL;NULL;NULL;NULL;(0.661 0.661 0.701 0.753 0.759 0.781 0.798 0.804 );anonymous;NULL;15721;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8cf73375-ca60-468f-8241-3c755401b071;NULL;NULL;2023-12-07 13:51:48.3816
NULL;NULL;0.5856;ReceivingData;NULL;anonymous;Rest;15962;NULL;NULL;2;NULL;NULL;NULL;NULL;8cf73375-ca60-468f-8241-3c755401b071;NULL;NULL;2023-12-07 13:51:50.6338
NULL;NULL;NULL;NULL;(0.678 0.586 0.810 0.801 0.812 0.780 0.723 0.714 );anonymous;NULL;15962;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8cf73375-ca60-468f-8241-3c755401b071;NULL;NULL;2023-12-07 13:51:50.6338
NULL;NULL;0.7501;ReceivingData;NULL;anonymous;MotorImagery;16802;NULL;NULL;3;NULL;NULL;NULL;NULL;8cf73375-ca60-468f-8241-3c755401b071;NULL;NULL;2023-12-07 13:51:57.4924
NULL;NULL;NULL;NULL;(0.736 0.736 0.750 0.661 0.741 0.712 0.698 0.693 );anonymous;NULL;16802;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8cf73375-ca60-468f-8241-3c755401b071;NULL;NULL;2023-12-07 13:51:57.4924
