BCIConfidence;BCIState;Email;Event;Framecount;SessionID;Timestamp
0.1027;ReceivingData;anonymous;Sample;14935;8cf73375-ca60-468f-8241-3c755401b071;2023-12-07 13:51:38.6255
0.1247;ReceivingData;anonymous;Sample;14936;8cf73375-ca60-468f-8241-3c755401b071;2023-12-07 13:51:38.6449
0.1819;ReceivingData;anonymous;Sample;14937;8cf73375-ca60-468f-8241-3c755401b071;2023-12-07 13:51:38.6638
0.2868;ReceivingData;anonymous;Sample;14938;8cf73375-ca60-468f-8241-3c755401b071;2023-12-07 13:51:38.6820
0.2924;ReceivingData;anonymous;Sample;14939;8cf73375-ca60-468f-8241-3c755401b071;2023-12-07 13:51:38.6987
0.2918;ReceivingData;anonymous;Sample;14940;8cf73375-ca60-468f-8241-3c755401b071;2023-12-07 13:51:38.7183
0.2822;ReceivingData;anonymous;Sample;14941;8cf73375-ca60-468f-8241-3c755401b071;2023-12-07 13:51:38.7351
0.2945;ReceivingData;anonymous;Sample;14942;8cf73375-ca60-468f-8241-3c755401b071;2023-12-07 13:51:38.7545
0.3433;ReceivingData;anonymous;Sample;14961;8cf73375-ca60-468f-8241-3c755401b071;2023-12-07 13:51:39.1124
0.3902;ReceivingData;anonymous;Sample;14962;8cf73375-ca60-468f-8241-3c755401b071;2023-12-07 13:51:39.1342
0.3805;ReceivingData;anonymous;Sample;14963;8cf73375-ca60-468f-8241-3c755401b071;2023-12-07 13:51:39.1632
0.4384;ReceivingData;anonymous;Sample;14964;8cf73375-ca60-468f-8241-3c755401b071;2023-12-07 13:51:39.1820
0.3005;ReceivingData;anonymous;Sample;14965;8cf73375-ca60-468f-8241-3c755401b071;2023-12-07 13:51:39.2000
0.2484;ReceivingData;anonymous;Sample;14966;8cf73375-ca60-468f-8241-3c755401b071;2023-12-07 13:51:39.2194
0.1708;ReceivingData;anonymous;Sample;14967;8cf73375-ca60-468f-8241-3c755401b071;2023-12-07 13:51:39.2357
0.1305;ReceivingData;anonymous;Sample;14986;8cf73375-ca60-468f-8241-3c755401b071;2023-12-07 13:51:39.5861
0.1059;ReceivingData;anonymous;Sample;14987;8cf73375-ca60-468f-8241-3c755401b071;2023-12-07 13:51:39.6053
0.0694;ReceivingData;anonymous;Sample;14988;8cf73375-ca60-468f-8241-3c755401b071;2023-12-07 13:51:39.6231
0.0602;ReceivingData;anonymous;Sample;14989;8cf73375-ca60-468f-8241-3c755401b071;2023-12-07 13:51:39.6417
0.0722;ReceivingData;anonymous;Sample;14990;8cf73375-ca60-468f-8241-3c755401b071;2023-12-07 13:51:39.6594
0.0591;ReceivingData;anonymous;Sample;14991;8cf73375-ca60-468f-8241-3c755401b071;2023-12-07 13:51:39.6800
0.0489;ReceivingData;anonymous;Sample;14992;8cf73375-ca60-468f-8241-3c755401b071;2023-12-07 13:51:39.6967
0.0311;ReceivingData;anonymous;Sample;14993;8cf73375-ca60-468f-8241-3c755401b071;2023-12-07 13:51:39.7158
0.0235;ReceivingData;anonymous;Sample;15011;8cf73375-ca60-468f-8241-3c755401b071;2023-12-07 13:51:40.0626
0.0243;ReceivingData;anonymous;Sample;15012;8cf73375-ca60-468f-8241-3c755401b071;2023-12-07 13:51:40.0810
0.0280;ReceivingData;anonymous;Sample;15013;8cf73375-ca60-468f-8241-3c755401b071;2023-12-07 13:51:40.0999
0.0329;ReceivingData;anonymous;Sample;15014;8cf73375-ca60-468f-8241-3c755401b071;2023-12-07 13:51:40.1172
