Attack;BCI attempt;BCIConfidence;BCIState;BCIThresholdBuffer;Email;Event;Framecount;Gamemode;GoblinName;InputNumber;Nr of Turns;Player Health;Player Mana;PlayerTurn;SessionID;Success BCI;Take Damage;Timestamp
NULL;NULL;NULL;NULL;NULL;anonymous;Scene Start;6692;Battery;NULL;NULL;NULL;NULL;NULL;NULL;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:10:47.5284
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;6692;NULL;NULL;NULL;1;NULL;NULL;TRUE;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:10:47.5314
NULL;NULL;NULL;Connecting;NULL;anonymous;BCIStateUpdated;6692;NULL;NULL;NULL;NULL;NULL;NULL;NULL;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:10:47.5334
NULL;NULL;NULL;ReceivingHeader;NULL;anonymous;BCIStateUpdated;6720;NULL;NULL;NULL;NULL;NULL;NULL;NULL;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:10:50.1203
NULL;NULL;NULL;ReceivingData;NULL;anonymous;BCIStateUpdated;6726;NULL;NULL;NULL;NULL;NULL;NULL;NULL;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:10:50.2255
NULL;NULL;0.8029;ReceivingData;NULL;anonymous;MotorImagery;7155;NULL;NULL;1;NULL;NULL;NULL;NULL;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:10:54.0890
NULL;NULL;NULL;NULL;(0.680 0.694 0.735 0.796 0.803 0.654 0.652 0.681 );anonymous;NULL;7155;NULL;NULL;NULL;NULL;NULL;NULL;NULL;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:10:54.0890
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;7155;NULL;NULL;NULL;NULL;20.0000;0.0000;NULL;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;0;2023-12-06 10:10:54.0890
NULL;1;NULL;NULL;NULL;anonymous;BciSuccess;7155;NULL;NULL;NULL;NULL;NULL;NULL;NULL;340a6124-a864-4623-99b9-5fb80cb0a1ac;TRUE;NULL;2023-12-06 10:10:54.0905
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7233;NULL;NULL;NULL;1;NULL;NULL;FALSE;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:10:55.6043
NULL;NULL;0.6319;ReceivingData;NULL;anonymous;Rest;7281;NULL;NULL;1;NULL;NULL;NULL;NULL;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:10:56.0028
NULL;NULL;NULL;NULL;(0.669 0.707 0.685 0.632 0.773 0.757 0.712 0.713 );anonymous;NULL;7281;NULL;NULL;NULL;NULL;NULL;NULL;NULL;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:10:56.0028
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7345;NULL;NULL;NULL;1;NULL;NULL;FALSE;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:10:56.5107
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7347;NULL;NULL;NULL;1;NULL;NULL;FALSE;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:10:56.5285
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7433;NULL;NULL;NULL;1;NULL;NULL;FALSE;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:10:57.2290
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7480;NULL;NULL;NULL;1;NULL;NULL;FALSE;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:10:57.6320
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7642;NULL;NULL;NULL;1;NULL;NULL;FALSE;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:10:58.9387
NULL;NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;7658;NULL;NULL;NULL;NULL;NULL;NULL;NULL;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:10:59.0760
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;7659;NULL;NULL;NULL;2;NULL;NULL;TRUE;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:10:59.0966
NULL;NULL;NULL;NULL;NULL;anonymous;Player Moving;7661;NULL;NULL;NULL;NULL;NULL;NULL;NULL;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:10:59.1477
NULL;NULL;NULL;NULL;NULL;anonymous;End Player Turn;7933;NULL;NULL;NULL;2;NULL;NULL;FALSE;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:01.4229
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7933;NULL;NULL;NULL;2;NULL;NULL;FALSE;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:01.4229
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7948;NULL;NULL;NULL;2;NULL;NULL;FALSE;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:01.5697
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7950;NULL;NULL;NULL;2;NULL;NULL;FALSE;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:01.5888
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;8031;NULL;NULL;NULL;2;NULL;NULL;FALSE;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:02.2910
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;8048;NULL;NULL;NULL;2;NULL;NULL;FALSE;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:02.4487
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;8050;NULL;NULL;NULL;2;NULL;NULL;FALSE;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:02.4878
NULL;NULL;0.7473;ReceivingData;NULL;anonymous;MotorImagery;8113;NULL;NULL;2;NULL;NULL;NULL;NULL;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:03.0640
NULL;NULL;NULL;NULL;(0.684 0.738 0.745 0.762 0.777 0.757 0.741 0.747 );anonymous;NULL;8113;NULL;NULL;NULL;NULL;NULL;NULL;NULL;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:03.0640
NULL;NULL;0.6061;ReceivingData;NULL;anonymous;Rest;8170;NULL;NULL;2;NULL;NULL;NULL;NULL;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:03.5460
NULL;NULL;NULL;NULL;(0.657 0.606 0.700 0.737 0.730 0.749 0.770 0.698 );anonymous;NULL;8170;NULL;NULL;NULL;NULL;NULL;NULL;NULL;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:03.5460
NULL;NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;8196;NULL;NULL;NULL;NULL;NULL;NULL;NULL;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:03.7762
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;8197;NULL;NULL;NULL;3;NULL;NULL;TRUE;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:03.7846
NULL;NULL;NULL;NULL;NULL;anonymous;Player Moving;8227;NULL;NULL;NULL;NULL;NULL;NULL;NULL;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:04.3956
NULL;NULL;NULL;NULL;NULL;anonymous;End Player Turn;8605;NULL;NULL;NULL;3;NULL;NULL;FALSE;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:07.7412
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;8605;NULL;NULL;NULL;3;NULL;NULL;FALSE;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:07.7412
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;8646;NULL;NULL;NULL;3;NULL;NULL;FALSE;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:08.1213
NULL;NULL;NULL;NULL;NULL;anonymous;Player Hurt;8661;NULL;NULL;NULL;NULL;19.0000;1.0000;NULL;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;1;2023-12-06 10:11:08.2596
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;8662;NULL;NULL;NULL;3;NULL;NULL;FALSE;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:08.2661
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;8709;NULL;NULL;NULL;3;NULL;NULL;FALSE;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:08.6940
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;8819;NULL;NULL;NULL;3;NULL;NULL;FALSE;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:09.6617
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;8833;NULL;NULL;NULL;3;NULL;NULL;FALSE;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:09.8220
NULL;NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;8895;NULL;NULL;NULL;NULL;NULL;NULL;NULL;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:10.3746
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;8896;NULL;NULL;NULL;4;NULL;NULL;TRUE;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:10.3838
1;NULL;NULL;NULL;NULL;anonymous;Player Attacking;8938;NULL;NULL;NULL;NULL;NULL;NULL;NULL;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:11.2526
NULL;NULL;NULL;NULL;NULL;anonymous;Goblin Death;8980;NULL;Goblin 2 Variant (1);NULL;NULL;NULL;NULL;NULL;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:12.0853
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;9031;NULL;NULL;NULL;4;NULL;NULL;FALSE;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:13.0954
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;9173;NULL;NULL;NULL;4;NULL;NULL;FALSE;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:14.3652
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;9238;NULL;NULL;NULL;4;NULL;NULL;FALSE;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:14.9356
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;9286;NULL;NULL;NULL;4;NULL;NULL;FALSE;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:15.3553
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;9392;NULL;NULL;NULL;4;NULL;NULL;FALSE;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:16.3101
NULL;NULL;0.8620;ReceivingData;NULL;anonymous;MotorImagery;9404;NULL;NULL;3;NULL;NULL;NULL;NULL;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:16.4276
NULL;NULL;NULL;NULL;(0.792 0.759 0.805 0.829 0.844 0.862 0.693 0.771 );anonymous;NULL;9404;NULL;NULL;NULL;NULL;NULL;NULL;NULL;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:16.4276
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;9404;NULL;NULL;NULL;NULL;19.0000;0.0000;NULL;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;1;2023-12-06 10:11:16.4276
NULL;2;NULL;NULL;NULL;anonymous;BciSuccess;9404;NULL;NULL;NULL;NULL;NULL;NULL;NULL;340a6124-a864-4623-99b9-5fb80cb0a1ac;TRUE;NULL;2023-12-06 10:11:16.4286
NULL;NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;9532;NULL;NULL;NULL;NULL;NULL;NULL;NULL;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:17.6023
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;9533;NULL;NULL;NULL;5;NULL;NULL;TRUE;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:17.6248
NULL;NULL;0.6132;ReceivingData;NULL;anonymous;Rest;9548;NULL;NULL;3;NULL;NULL;NULL;NULL;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:17.9371
NULL;NULL;NULL;NULL;(0.741 0.742 0.761 0.678 0.613 0.687 0.671 0.706 );anonymous;NULL;9548;NULL;NULL;NULL;NULL;NULL;NULL;NULL;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:17.9371
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;9549;NULL;NULL;NULL;5;NULL;NULL;FALSE;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:17.9451
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;9552;NULL;NULL;NULL;5;NULL;NULL;FALSE;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:17.9844
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;9678;NULL;NULL;NULL;5;NULL;NULL;FALSE;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:19.1364
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;9756;NULL;NULL;NULL;5;NULL;NULL;FALSE;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:19.8651
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;9814;NULL;NULL;NULL;5;NULL;NULL;FALSE;340a6124-a864-4623-99b9-5fb80cb0a1ac;NULL;NULL;2023-12-06 10:11:20.3995
