BCIConfidence;BCIState;Email;Event;Framecount;SessionID;Timestamp
0.8894;ReceivingData;anonymous;Sample;12811;a0c693d3-f167-4e93-8577-aa5933c96d0b;2023-12-05 12:28:18.2335
0.9038;ReceivingData;anonymous;Sample;12812;a0c693d3-f167-4e93-8577-aa5933c96d0b;2023-12-05 12:28:18.2657
0.9129;ReceivingData;anonymous;Sample;12813;a0c693d3-f167-4e93-8577-aa5933c96d0b;2023-12-05 12:28:18.2981
0.9063;ReceivingData;anonymous;Sample;12814;a0c693d3-f167-4e93-8577-aa5933c96d0b;2023-12-05 12:28:18.3345
0.8580;ReceivingData;anonymous;Sample;12815;a0c693d3-f167-4e93-8577-aa5933c96d0b;2023-12-05 12:28:18.3695
0.8405;ReceivingData;anonymous;Sample;12816;a0c693d3-f167-4e93-8577-aa5933c96d0b;2023-12-05 12:28:18.3886
0.8357;ReceivingData;anonymous;Sample;12827;a0c693d3-f167-4e93-8577-aa5933c96d0b;2023-12-05 12:28:18.6897
0.7796;ReceivingData;anonymous;Sample;12828;a0c693d3-f167-4e93-8577-aa5933c96d0b;2023-12-05 12:28:18.7181
0.7646;ReceivingData;anonymous;Sample;12829;a0c693d3-f167-4e93-8577-aa5933c96d0b;2023-12-05 12:28:18.7423
0.7861;ReceivingData;anonymous;Sample;12830;a0c693d3-f167-4e93-8577-aa5933c96d0b;2023-12-05 12:28:18.7694
0.7009;ReceivingData;anonymous;Sample;12831;a0c693d3-f167-4e93-8577-aa5933c96d0b;2023-12-05 12:28:18.7972
0.7697;ReceivingData;anonymous;Sample;12832;a0c693d3-f167-4e93-8577-aa5933c96d0b;2023-12-05 12:28:18.8259
0.8164;ReceivingData;anonymous;Sample;12833;a0c693d3-f167-4e93-8577-aa5933c96d0b;2023-12-05 12:28:18.8507
0.8377;ReceivingData;anonymous;Sample;12834;a0c693d3-f167-4e93-8577-aa5933c96d0b;2023-12-05 12:28:18.8763
0.8304;ReceivingData;anonymous;Sample;12835;a0c693d3-f167-4e93-8577-aa5933c96d0b;2023-12-05 12:28:18.9064
0.8614;ReceivingData;anonymous;Sample;12844;a0c693d3-f167-4e93-8577-aa5933c96d0b;2023-12-05 12:28:19.1481
0.8701;ReceivingData;anonymous;Sample;12845;a0c693d3-f167-4e93-8577-aa5933c96d0b;2023-12-05 12:28:19.1734
0.8883;ReceivingData;anonymous;Sample;12846;a0c693d3-f167-4e93-8577-aa5933c96d0b;2023-12-05 12:28:19.2006
0.8416;ReceivingData;anonymous;Sample;12847;a0c693d3-f167-4e93-8577-aa5933c96d0b;2023-12-05 12:28:19.2259
0.8304;ReceivingData;anonymous;Sample;12848;a0c693d3-f167-4e93-8577-aa5933c96d0b;2023-12-05 12:28:19.2501
0.8200;ReceivingData;anonymous;Sample;12849;a0c693d3-f167-4e93-8577-aa5933c96d0b;2023-12-05 12:28:19.2780
0.8544;ReceivingData;anonymous;Sample;12863;a0c693d3-f167-4e93-8577-aa5933c96d0b;2023-12-05 12:28:19.6476
0.8696;ReceivingData;anonymous;Sample;12864;a0c693d3-f167-4e93-8577-aa5933c96d0b;2023-12-05 12:28:19.6728
0.8795;ReceivingData;anonymous;Sample;12865;a0c693d3-f167-4e93-8577-aa5933c96d0b;2023-12-05 12:28:19.7002
0.8921;ReceivingData;anonymous;Sample;12866;a0c693d3-f167-4e93-8577-aa5933c96d0b;2023-12-05 12:28:19.7257
0.8889;ReceivingData;anonymous;Sample;12867;a0c693d3-f167-4e93-8577-aa5933c96d0b;2023-12-05 12:28:19.7511
0.9042;ReceivingData;anonymous;Sample;12868;a0c693d3-f167-4e93-8577-aa5933c96d0b;2023-12-05 12:28:19.7815
0.9249;ReceivingData;anonymous;Sample;12869;a0c693d3-f167-4e93-8577-aa5933c96d0b;2023-12-05 12:28:19.8163
0.9238;ReceivingData;anonymous;Sample;12870;a0c693d3-f167-4e93-8577-aa5933c96d0b;2023-12-05 12:28:19.8377
0.9237;ReceivingData;anonymous;Sample;12871;a0c693d3-f167-4e93-8577-aa5933c96d0b;2023-12-05 12:28:19.8456
0.9174;ReceivingData;anonymous;Sample;12886;a0c693d3-f167-4e93-8577-aa5933c96d0b;2023-12-05 12:28:20.1006
0.9157;ReceivingData;anonymous;Sample;12887;a0c693d3-f167-4e93-8577-aa5933c96d0b;2023-12-05 12:28:20.1157
0.9046;ReceivingData;anonymous;Sample;12888;a0c693d3-f167-4e93-8577-aa5933c96d0b;2023-12-05 12:28:20.1300
