Attack;BCI attempt;BCIConfidence;BCIState;BCIThresholdBuffer;Email;Event;Framecount;Gamemode;GoblinName;InputNumber;Nr of Turns;Player Health;Player Mana;PlayerTurn;SessionID;Success BCI;Take Damage;Timestamp
NULL;NULL;NULL;NULL;NULL;anonymous;Scene Start;10852;Battery;NULL;NULL;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:00:46.0454
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;10852;NULL;NULL;NULL;1;NULL;NULL;TRUE;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:00:46.0485
NULL;NULL;NULL;Connecting;NULL;anonymous;BCIStateUpdated;10852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:00:46.0505
NULL;NULL;NULL;ReceivingHeader;NULL;anonymous;BCIStateUpdated;10880;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:00:48.6493
NULL;NULL;NULL;ReceivingData;NULL;anonymous;BCIStateUpdated;10901;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:00:48.9797
NULL;NULL;0.6651;ReceivingData;NULL;anonymous;MotorImagery;11214;NULL;NULL;1;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:00:51.4240
NULL;NULL;NULL;NULL;(0.731 0.697 0.683 0.665 0.688 0.703 0.760 0.702 );anonymous;NULL;11214;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:00:51.4240
NULL;NULL;0.6283;ReceivingData;NULL;anonymous;Rest;11215;NULL;NULL;1;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:00:51.4331
NULL;NULL;NULL;NULL;(0.731 0.697 0.683 0.665 0.628 0.703 0.760 0.702 );anonymous;NULL;11215;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:00:51.4331
NULL;NULL;0.8685;ReceivingData;NULL;anonymous;MotorImagery;11585;NULL;NULL;2;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:00:54.2601
NULL;NULL;NULL;NULL;(0.869 0.672 0.694 0.790 0.846 0.870 0.879 0.867 );anonymous;NULL;11585;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:00:54.2601
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;11585;NULL;NULL;NULL;NULL;20.0000;0.0000;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;0;2023-12-05 14:00:54.2601
NULL;1;NULL;NULL;NULL;anonymous;BciSuccess;11585;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;TRUE;NULL;2023-12-05 14:00:54.2601
NULL;NULL;0.6035;ReceivingData;NULL;anonymous;Rest;11661;NULL;NULL;2;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:00:55.7465
NULL;NULL;NULL;NULL;(0.651 0.604 0.660 0.709 0.707 0.684 0.693 0.706 );anonymous;NULL;11661;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:00:55.7465
NULL;NULL;0.7365;ReceivingData;NULL;anonymous;MotorImagery;12109;NULL;NULL;3;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:00:59.5385
NULL;NULL;NULL;NULL;(0.676 0.669 0.665 0.729 0.732 0.737 0.752 0.737 );anonymous;NULL;12109;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:00:59.5385
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;12109;NULL;NULL;NULL;NULL;20.0000;1.0000;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;0;2023-12-05 14:00:59.5385
NULL;2;NULL;NULL;NULL;anonymous;BciSuccess;12109;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;TRUE;NULL;2023-12-05 14:00:59.5395
NULL;NULL;0.5780;ReceivingData;NULL;anonymous;Rest;12134;NULL;NULL;3;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:00.0563
NULL;NULL;NULL;NULL;(0.746 0.578 0.790 0.788 0.780 0.777 0.770 0.756 );anonymous;NULL;12134;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:00.0563
NULL;NULL;0.8664;ReceivingData;NULL;anonymous;MotorImagery;12999;NULL;NULL;4;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:07.7681
NULL;NULL;NULL;NULL;(0.722 0.821 0.819 0.759 0.821 0.860 0.866 0.669 );anonymous;NULL;12999;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:07.7681
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;12999;NULL;NULL;NULL;NULL;20.0000;2.0000;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;0;2023-12-05 14:01:07.7681
NULL;3;NULL;NULL;NULL;anonymous;BciSuccess;12999;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;TRUE;NULL;2023-12-05 14:01:07.7701
NULL;NULL;0.6353;ReceivingData;NULL;anonymous;Rest;13047;NULL;NULL;4;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:08.7078
NULL;NULL;NULL;NULL;(0.656 0.656 0.635 0.860 0.852 0.807 0.758 0.718 );anonymous;NULL;13047;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:08.7078
NULL;4;NULL;NULL;NULL;anonymous;BciFail;14485;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;FALSE;NULL;2023-12-05 14:01:20.7231
NULL;5;NULL;NULL;NULL;anonymous;BciFail;15988;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;FALSE;NULL;2023-12-05 14:01:33.6759
NULL;NULL;0.7504;ReceivingData;NULL;anonymous;MotorImagery;16010;NULL;NULL;5;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:34.1326
NULL;NULL;NULL;NULL;(0.778 0.750 0.658 0.657 0.671 0.676 0.697 0.766 );anonymous;NULL;16010;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:34.1326
NULL;NULL;0.6152;ReceivingData;NULL;anonymous;Rest;16012;NULL;NULL;5;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:34.1753
NULL;NULL;NULL;NULL;(0.778 0.750 0.692 0.615 0.671 0.676 0.697 0.766 );anonymous;NULL;16012;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:34.1753
NULL;NULL;0.7112;ReceivingData;NULL;anonymous;MotorImagery;16687;NULL;NULL;6;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:40.3690
NULL;NULL;NULL;NULL;(0.720 0.718 0.685 0.701 0.711 0.648 0.659 0.663 );anonymous;NULL;16687;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:40.3690
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;16687;NULL;NULL;NULL;NULL;20.0000;3.0000;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;0;2023-12-05 14:01:40.3690
NULL;6;NULL;NULL;NULL;anonymous;BciSuccess;16687;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;TRUE;NULL;2023-12-05 14:01:40.3700
NULL;NULL;0.6231;ReceivingData;NULL;anonymous;Rest;16688;NULL;NULL;6;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:40.3867
NULL;NULL;NULL;NULL;(0.720 0.718 0.685 0.701 0.711 0.623 0.659 0.663 );anonymous;NULL;16688;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:40.3867
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;16765;NULL;NULL;NULL;1;NULL;NULL;FALSE;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:41.8644
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;16880;NULL;NULL;NULL;1;NULL;NULL;FALSE;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:42.7708
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;16882;NULL;NULL;NULL;1;NULL;NULL;FALSE;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:42.7848
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;16971;NULL;NULL;NULL;1;NULL;NULL;FALSE;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:43.4842
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;17020;NULL;NULL;NULL;1;NULL;NULL;FALSE;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:43.8901
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;17182;NULL;NULL;NULL;1;NULL;NULL;FALSE;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:45.1927
NULL;NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;17199;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:45.3332
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;17200;NULL;NULL;NULL;2;NULL;NULL;TRUE;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:45.3537
NULL;NULL;NULL;NULL;NULL;anonymous;Player Moving;17246;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:46.2800
NULL;NULL;NULL;NULL;NULL;anonymous;End Player Turn;17661;NULL;NULL;NULL;2;NULL;NULL;FALSE;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:49.6648
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;17661;NULL;NULL;NULL;2;NULL;NULL;FALSE;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:49.6648
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;17677;NULL;NULL;NULL;2;NULL;NULL;FALSE;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:49.8017
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;17679;NULL;NULL;NULL;2;NULL;NULL;FALSE;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:49.8176
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;17764;NULL;NULL;NULL;2;NULL;NULL;FALSE;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:50.5217
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;17781;NULL;NULL;NULL;2;NULL;NULL;FALSE;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:50.6707
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;17898;NULL;NULL;NULL;2;NULL;NULL;FALSE;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:51.6465
NULL;NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;18056;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:52.9390
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;18057;NULL;NULL;NULL;3;NULL;NULL;TRUE;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:52.9454
1;NULL;NULL;NULL;NULL;anonymous;Player Attacking;18137;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:54.5298
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;18241;NULL;NULL;NULL;3;NULL;NULL;FALSE;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:56.5936
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;18285;NULL;NULL;NULL;3;NULL;NULL;FALSE;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:56.9794
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;18287;NULL;NULL;NULL;3;NULL;NULL;FALSE;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:56.9956
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;18339;NULL;NULL;NULL;3;NULL;NULL;FALSE;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:57.4271
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;18456;NULL;NULL;NULL;3;NULL;NULL;FALSE;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:58.3840
NULL;NULL;NULL;NULL;NULL;anonymous;Player Hurt;18473;NULL;NULL;NULL;NULL;19.0000;3.0000;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;1;2023-12-05 14:01:58.5322
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;18474;NULL;NULL;NULL;3;NULL;NULL;FALSE;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:58.5402
NULL;NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;18538;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:59.0798
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;18539;NULL;NULL;NULL;4;NULL;NULL;TRUE;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:01:59.1005
2;NULL;NULL;NULL;NULL;anonymous;Player Attacking;18615;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:02:00.6192
NULL;NULL;NULL;NULL;NULL;anonymous;Goblin Death;18657;NULL;Goblin 2 Variant (4);NULL;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:02:01.4493
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;18710;NULL;NULL;NULL;4;NULL;NULL;FALSE;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:02:02.4755
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;18861;NULL;NULL;NULL;4;NULL;NULL;FALSE;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:02:03.7253
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;18863;NULL;NULL;NULL;4;NULL;NULL;FALSE;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:02:03.7410
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;18932;NULL;NULL;NULL;4;NULL;NULL;FALSE;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:02:04.3120
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;18985;NULL;NULL;NULL;4;NULL;NULL;FALSE;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:02:04.7497
NULL;NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;19140;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:02:06.0238
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;19141;NULL;NULL;NULL;5;NULL;NULL;TRUE;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:02:06.0426
NULL;NULL;NULL;NULL;NULL;anonymous;Player Moving;19253;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:02:08.2677
NULL;NULL;NULL;NULL;NULL;anonymous;End Player Turn;19442;NULL;NULL;NULL;5;NULL;NULL;FALSE;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:02:09.8341
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;19442;NULL;NULL;NULL;5;NULL;NULL;FALSE;8a39d590-54b5-4556-81d0-fa938383e055;NULL;NULL;2023-12-05 14:02:09.8356
NULL;NULL;NULL;NULL;NULL;anonymous;Player Hurt;19443;NULL;NULL;NULL;NULL;18.0000;2.0000;NULL;8a39d590-54b5-4556-81d0-fa938383e055;NULL;2;2023-12-05 14:02:09.8537
