Attack;BCI attempt;BCIConfidence;BCIState;BCIThresholdBuffer;Email;Event;Framecount;Gamemode;GoblinName;InputNumber;Nr of Turns;Player Health;Player Mana;PlayerTurn;SessionID;Success BCI;Take Damage;Timestamp
NULL;NULL;NULL;NULL;NULL;anonymous;Scene Start;11387;Battery;NULL;NULL;NULL;NULL;NULL;NULL;a011294f-193b-43fc-97a3-249cfd8b1881;NULL;NULL;2023-12-06 11:11:31.6310
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;11387;NULL;NULL;NULL;1;NULL;NULL;TRUE;a011294f-193b-43fc-97a3-249cfd8b1881;NULL;NULL;2023-12-06 11:11:31.6335
NULL;NULL;NULL;Connecting;NULL;anonymous;BCIStateUpdated;11387;NULL;NULL;NULL;NULL;NULL;NULL;NULL;a011294f-193b-43fc-97a3-249cfd8b1881;NULL;NULL;2023-12-06 11:11:31.6355
NULL;NULL;NULL;ReceivingHeader;NULL;anonymous;BCIStateUpdated;11414;NULL;NULL;NULL;NULL;NULL;NULL;NULL;a011294f-193b-43fc-97a3-249cfd8b1881;NULL;NULL;2023-12-06 11:11:34.2350
NULL;NULL;NULL;ReceivingData;NULL;anonymous;BCIStateUpdated;11429;NULL;NULL;NULL;NULL;NULL;NULL;NULL;a011294f-193b-43fc-97a3-249cfd8b1881;NULL;NULL;2023-12-06 11:11:34.5372
NULL;NULL;0.7002;ReceivingData;NULL;anonymous;MotorImagery;12514;NULL;NULL;1;NULL;NULL;NULL;NULL;a011294f-193b-43fc-97a3-249cfd8b1881;NULL;NULL;2023-12-06 11:11:44.0201
NULL;NULL;NULL;NULL;(0.674 0.695 0.690 0.701 0.699 0.700 0.656 0.699 );anonymous;NULL;12514;NULL;NULL;NULL;NULL;NULL;NULL;NULL;a011294f-193b-43fc-97a3-249cfd8b1881;NULL;NULL;2023-12-06 11:11:44.0201
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;12514;NULL;NULL;NULL;NULL;20.0000;0.0000;NULL;a011294f-193b-43fc-97a3-249cfd8b1881;NULL;0;2023-12-06 11:11:44.0201
NULL;1;NULL;NULL;NULL;anonymous;BciSuccess;12514;NULL;NULL;NULL;NULL;NULL;NULL;NULL;a011294f-193b-43fc-97a3-249cfd8b1881;TRUE;NULL;2023-12-06 11:11:44.0201
NULL;NULL;0.5937;ReceivingData;NULL;anonymous;Rest;12560;NULL;NULL;1;NULL;NULL;NULL;NULL;a011294f-193b-43fc-97a3-249cfd8b1881;NULL;NULL;2023-12-06 11:11:44.9688
