BCIConfidence;BCIState;Email;Event;Framecount;SessionID;Timestamp
0.1142;ReceivingData;anonymous;Sample;14368;ffc84840-e55b-494f-869e-17ca677120fa;2023-12-06 12:25:35.1331
0.1205;ReceivingData;anonymous;Sample;14369;ffc84840-e55b-494f-869e-17ca677120fa;2023-12-06 12:25:35.1519
0.1261;ReceivingData;anonymous;Sample;14370;ffc84840-e55b-494f-869e-17ca677120fa;2023-12-06 12:25:35.1675
0.1201;ReceivingData;anonymous;Sample;14371;ffc84840-e55b-494f-869e-17ca677120fa;2023-12-06 12:25:35.2002
0.1155;ReceivingData;anonymous;Sample;14372;ffc84840-e55b-494f-869e-17ca677120fa;2023-12-06 12:25:35.2201
0.1253;ReceivingData;anonymous;Sample;14373;ffc84840-e55b-494f-869e-17ca677120fa;2023-12-06 12:25:35.2366
0.1509;ReceivingData;anonymous;Sample;14374;ffc84840-e55b-494f-869e-17ca677120fa;2023-12-06 12:25:35.2557
0.1646;ReceivingData;anonymous;Sample;14375;ffc84840-e55b-494f-869e-17ca677120fa;2023-12-06 12:25:35.2736
0.1444;ReceivingData;anonymous;Sample;14394;ffc84840-e55b-494f-869e-17ca677120fa;2023-12-06 12:25:35.6160
0.1542;ReceivingData;anonymous;Sample;14395;ffc84840-e55b-494f-869e-17ca677120fa;2023-12-06 12:25:35.6364
0.1784;ReceivingData;anonymous;Sample;14396;ffc84840-e55b-494f-869e-17ca677120fa;2023-12-06 12:25:35.6531
0.1667;ReceivingData;anonymous;Sample;14397;ffc84840-e55b-494f-869e-17ca677120fa;2023-12-06 12:25:35.6722
0.1421;ReceivingData;anonymous;Sample;14398;ffc84840-e55b-494f-869e-17ca677120fa;2023-12-06 12:25:35.6893
0.1570;ReceivingData;anonymous;Sample;14399;ffc84840-e55b-494f-869e-17ca677120fa;2023-12-06 12:25:35.7078
0.1614;ReceivingData;anonymous;Sample;14400;ffc84840-e55b-494f-869e-17ca677120fa;2023-12-06 12:25:35.7255
0.2215;ReceivingData;anonymous;Sample;14420;ffc84840-e55b-494f-869e-17ca677120fa;2023-12-06 12:25:36.0960
0.3076;ReceivingData;anonymous;Sample;14421;ffc84840-e55b-494f-869e-17ca677120fa;2023-12-06 12:25:36.1166
0.3063;ReceivingData;anonymous;Sample;14422;ffc84840-e55b-494f-869e-17ca677120fa;2023-12-06 12:25:36.1335
0.3006;ReceivingData;anonymous;Sample;14423;ffc84840-e55b-494f-869e-17ca677120fa;2023-12-06 12:25:36.1559
0.3353;ReceivingData;anonymous;Sample;14424;ffc84840-e55b-494f-869e-17ca677120fa;2023-12-06 12:25:36.1725
0.3468;ReceivingData;anonymous;Sample;14425;ffc84840-e55b-494f-869e-17ca677120fa;2023-12-06 12:25:36.1901
0.2879;ReceivingData;anonymous;Sample;14426;ffc84840-e55b-494f-869e-17ca677120fa;2023-12-06 12:25:36.2092
0.2293;ReceivingData;anonymous;Sample;14427;ffc84840-e55b-494f-869e-17ca677120fa;2023-12-06 12:25:36.2269
0.2490;ReceivingData;anonymous;Sample;14446;ffc84840-e55b-494f-869e-17ca677120fa;2023-12-06 12:25:36.5703
0.2572;ReceivingData;anonymous;Sample;14447;ffc84840-e55b-494f-869e-17ca677120fa;2023-12-06 12:25:36.5891
0.2764;ReceivingData;anonymous;Sample;14448;ffc84840-e55b-494f-869e-17ca677120fa;2023-12-06 12:25:36.6063
0.2551;ReceivingData;anonymous;Sample;14449;ffc84840-e55b-494f-869e-17ca677120fa;2023-12-06 12:25:36.6264
0.2336;ReceivingData;anonymous;Sample;14450;ffc84840-e55b-494f-869e-17ca677120fa;2023-12-06 12:25:36.6422
