BCIConfidence;BCIState;Email;Event;Framecount;SessionID;Timestamp
0.4739;ReceivingData;anonymous;Sample;10892;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:05.3655
0.4603;ReceivingData;anonymous;Sample;10893;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:05.3726
0.4790;ReceivingData;anonymous;Sample;10894;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:05.3829
0.4475;ReceivingData;anonymous;Sample;10895;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:05.3912
0.4420;ReceivingData;anonymous;Sample;10896;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:05.4003
0.4164;ReceivingData;anonymous;Sample;10897;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:05.4145
0.4125;ReceivingData;anonymous;Sample;10898;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:05.4229
0.3814;ReceivingData;anonymous;Sample;10899;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:05.4306
0.4392;ReceivingData;anonymous;Sample;10900;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:05.4383
0.4649;ReceivingData;anonymous;Sample;10951;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:05.8448
0.4890;ReceivingData;anonymous;Sample;10952;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:05.8550
0.5015;ReceivingData;anonymous;Sample;10953;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:05.8609
0.5208;ReceivingData;anonymous;Sample;10954;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:05.8695
0.5259;ReceivingData;anonymous;Sample;10955;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:05.8765
0.5162;ReceivingData;anonymous;Sample;10956;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:05.8874
0.4880;ReceivingData;anonymous;Sample;10957;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:05.8935
0.4758;ReceivingData;anonymous;Sample;10958;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:05.9006
0.4295;ReceivingData;anonymous;Sample;10959;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:05.9077
0.4812;ReceivingData;anonymous;Sample;11018;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:06.3787
0.4760;ReceivingData;anonymous;Sample;11019;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:06.3860
0.4775;ReceivingData;anonymous;Sample;11020;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:06.3961
0.4919;ReceivingData;anonymous;Sample;11021;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:06.4036
0.5387;ReceivingData;anonymous;Sample;11022;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:06.4098
0.5364;ReceivingData;anonymous;Sample;11023;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:06.4193
0.5606;ReceivingData;anonymous;Sample;11024;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:06.4269
0.5624;ReceivingData;anonymous;Sample;11025;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:06.4339
0.5592;ReceivingData;anonymous;Sample;11077;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:06.8495
0.5590;ReceivingData;anonymous;Sample;11078;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:06.8552
0.5642;ReceivingData;anonymous;Sample;11079;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:06.8647
0.5319;ReceivingData;anonymous;Sample;11080;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:06.8716
0.5480;ReceivingData;anonymous;Sample;11081;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:06.8797
0.4983;ReceivingData;anonymous;Sample;11082;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:06.8910
0.4978;ReceivingData;anonymous;Sample;11083;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:06.8991
0.4559;ReceivingData;anonymous;Sample;11084;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:06.9062
0.4167;ReceivingData;anonymous;Sample;11085;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:06.9157
0.3891;ReceivingData;anonymous;Sample;11136;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:07.3248
0.3525;ReceivingData;anonymous;Sample;11137;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:07.3314
0.3557;ReceivingData;anonymous;Sample;11138;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:07.3390
0.3612;ReceivingData;anonymous;Sample;11139;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:07.3472
0.3633;ReceivingData;anonymous;Sample;11140;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:07.3542
0.3355;ReceivingData;anonymous;Sample;11141;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:07.3652
0.3402;ReceivingData;anonymous;Sample;11198;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:07.8169
0.2668;ReceivingData;anonymous;Sample;11199;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:07.8237
0.2325;ReceivingData;anonymous;Sample;11200;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:07.8335
0.2106;ReceivingData;anonymous;Sample;11201;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:07.8420
0.2132;ReceivingData;anonymous;Sample;11202;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:07.8496
0.2007;ReceivingData;anonymous;Sample;11203;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:07.8572
0.2121;ReceivingData;anonymous;Sample;11204;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:07.8649
0.2166;ReceivingData;anonymous;Sample;11205;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:07.8736
0.3286;ReceivingData;anonymous;Sample;11206;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:07.8826
0.4542;ReceivingData;anonymous;Sample;11259;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:08.3015
0.5062;ReceivingData;anonymous;Sample;11260;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:08.3082
0.4967;ReceivingData;anonymous;Sample;11261;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:08.3158
0.5192;ReceivingData;anonymous;Sample;11262;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:08.3250
0.4689;ReceivingData;anonymous;Sample;11263;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:08.3316
0.4626;ReceivingData;anonymous;Sample;11264;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:08.3391
0.5182;ReceivingData;anonymous;Sample;11265;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:08.3475
0.4191;ReceivingData;anonymous;Sample;11266;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:08.3563
0.2199;ReceivingData;anonymous;Sample;11316;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:08.7659
0.1170;ReceivingData;anonymous;Sample;11317;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:08.7715
0.1099;ReceivingData;anonymous;Sample;11318;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:08.7792
0.0633;ReceivingData;anonymous;Sample;11319;a571fc2d-a0de-4e01-ab20-0dc7b4c6c9d9;2023-12-06 12:38:08.7888
