,Unnamed: 0,Index,Frame,Success,Goblin Death,Player Hurt,Player Attacking,Player Moving,Min,Max,Median,Sd,Type
0,0,10,12259,1,0,0,0,0,0.6471,0.7862,0.7206,0.0539182299765999,0
1,1,20,13251,1,0,0,0,0,0.6831,0.7391,0.6957,0.0173508693346087,0
2,2,30,14001,1,0,0,0,0,0.66,0.7586,0.7103,0.0305615413473176,0
3,3,40,14865,1,0,0,0,0,0.651,0.7277,0.7051,0.0258567058631844,0
4,4,160,20592,1,3,2,4,4,0.6505,0.7164,0.6928,0.0220824386161967,0
5,5,170,21303,1,3,2,4,4,0.6574,0.8368,0.7646,0.0595391451863713,0
6,6,182,22291,1,3,2,4,4,0.4454,0.7643,0.5732,0.1307279880405984,0
7,7,186,23277,1,3,2,4,4,0.6526,0.8107,0.7496,0.044603942810986,0
8,0,10,10853,1,0,0,0,0,0.6564,0.8299,0.73,0.0533474888952476,1
9,1,62,13788,1,0,0,1,2,0.6376,0.7204,0.6742,0.0249648095183142,1
10,2,89,15316,1,1,0,2,2,0.5526,0.7528,0.6181,0.0726962840472999,1
11,3,130,17240,1,2,1,3,3,0.6403,0.7002,0.6688,0.0159279120085584,1
12,4,160,18334,1,3,2,4,3,0.6386,0.7464,0.6928,0.0341797071513548,1
13,5,208,20444,1,4,3,5,5,0.2493,0.7479,0.6176,0.1953097666589691,1
14,6,239,21782,1,5,3,6,6,0.4942,0.7499,0.6338,0.0905081543287675,1
15,7,311,26030,1,5,4,7,12,0.583,0.7528,0.6258,0.0588704445209583,1
16,0,8,9664,1,0,0,0,0,0.41,0.6863,0.6142,0.1129979043210642,0
17,1,14,10496,1,0,0,0,0,0.5468,0.7499,0.5951,0.0829883629248847,0
18,2,24,11209,1,0,0,0,0,0.4696,0.7563,0.6352,0.1108573888681609,0
19,3,30,12044,1,0,0,0,0,0.5113,0.7752,0.6198,0.1008002636050974,0
20,4,107,16425,1,3,2,4,3,0.6745,0.8696,0.8006,0.0745058911061656,0
21,5,111,17188,1,3,2,4,3,0.4728,0.7722,0.6246,0.0939927899970448,0
22,6,117,18445,1,3,2,4,3,0.5677,0.6709,0.6433,0.0352290910632513,0
23,7,123,19056,1,3,2,4,3,0.3433,0.7173,0.5933,0.1378852134756954,0
24,0,12,9935,1,0,0,0,0,0.4947,0.7619,0.6366,0.1020008674099438,1
25,1,46,12019,1,0,1,1,1,0.5385,0.7617,0.6392,0.0764756438040118,1
26,2,70,13444,1,1,2,2,1,0.5931,0.7101,0.6483,0.0367346832350702,1
