Index,Frame,Success,Goblin Death,Player Hurt,Player Attacking,Player moving,Threshbuffer,type
5,16328,0,0,0,0,0,[0.2401 0.2357 0.2424 0.2624 0.2829 0.3029 0.275  0.2278],0
6,17380,0,0,0,0,0,[0.3774 0.4527 0.4802 0.4942 0.5098 0.5564 0.5626 0.5262],0
7,18436,0,0,0,0,0,[0.2053 0.2525 0.2523 0.2496 0.251  0.2784 0.2608 0.2735],0
12,19494,0,0,0,0,0,[0.1287 0.1856 0.1938 0.2308 0.2485 0.2444 0.2708 0.2514],0
13,20549,0,0,0,0,0,[0.3865 0.3892 0.3795 0.3692 0.4158 0.455  0.4943 0.4786],0
17,21379,1,0,0,0,0,[0.6007 0.6523 0.6719 0.7043 0.7636 0.7698 0.8026 0.8467],0
23,22178,1,0,0,0,0,[0.5478 0.6498 0.6737 0.7153 0.7445 0.7592 0.7944 0.7964],0
29,23154,1,0,0,0,0,[0.6363 0.6609 0.648  0.675  0.6963 0.7458 0.7556 0.7619],0
32,24178,0,0,0,0,0,[0.131  0.1299 0.1147 0.1285 0.1196 0.1249 0.1414 0.1487],0
33,25223,0,0,0,0,0,[0.3279 0.3609 0.4052 0.3953 0.3395 0.2537 0.1777 0.1581],0
37,25702,1,0,0,0,0,[0.6252 0.6556 0.6572 0.6581 0.7004 0.7175 0.7505 0.761 ],0
268,36482,0,3,3,4,13,[0.2173 0.15   0.1715 0.1632 0.1765 0.1734 0.1729 0.1636],0
269,37516,0,3,3,4,13,[0.1433 0.1725 0.2027 0.239  0.2079 0.2361 0.2281 0.2218],0
270,38491,0,3,3,4,13,[0.2923 0.2978 0.3364 0.3222 0.3064 0.3142 0.3259 0.3091],0
274,38963,1,3,3,4,13,[0.6308 0.685  0.7356 0.8029 0.8108 0.8037 0.8159 0.8065],0
277,39898,0,3,3,4,13,[0.2662 0.2858 0.2904 0.3219 0.3415 0.3665 0.3737 0.3624],0
281,40348,1,3,3,4,13,[0.5953 0.6607 0.7048 0.7194 0.7145 0.6693 0.6628 0.6492],0
284,41366,0,3,3,4,13,[0.2375 0.2944 0.2492 0.2385 0.2635 0.2956 0.2868 0.3032],0
288,41788,1,3,3,4,13,[0.6342 0.6765 0.7016 0.7184 0.7284 0.7239 0.7613 0.7748],0
294,42248,1,3,3,4,13,[0.6138 0.6534 0.6518 0.7154 0.7439 0.761  0.76   0.746 ],0
